Entity,Trade Type,Exchange Rate,Currency,Instruction Date,Settlement Date,Units,Price Per Unit
Entity-1,Buy,0.1280,HKD,10-01-2018,10-01-2018,250,100.25
Entity-1,Sell,0.1280,HKD,10-01-2018,10-01-2018,120,100.75
Entity-2,Buy,1.1897,EUR,10-01-2018,10-02-2018,300,105.50
Entity-2,Sell,1.1897,EUR,10-01-2018,10-02-2018,240,106.00
Entity-3,Buy,0.0089,JPY,10-01-2018,10-03-2018,630,100.75
Entity-3,Sell,0.0089,JPY,10-01-2018,10-03-2018,220,101.25
Entity-4,Buy,1.3468,GBP,10-01-2018,10-04-2018,315,105.00
Entity-4,Sell,1.3468,GBP,10-01-2018,10-04-2018,220,105.50
Entity-5,Buy,0.7612,AUD,10-01-2018,10-05-2018,90,120.25
Entity-5,Sell,0.7612,AUD,10-01-2018,10-05-2018,430,120.75
Entity-6,Buy,0.7884,CAD,10-02-2018,10-02-2018,670,125.50
Entity-6,Sell,0.7884,CAD,10-02-2018,10-02-2018,320,126.00
Entity-7,Buy,1.0242,CHF,10-02-2018,10-03-2018,430,130.75
Entity-7,Sell,1.0242,CHF,10-02-2018,10-03-2018,140,131.25
Entity-8,Buy,0.1512,CNY,10-02-2018,10-04-2018,180,135.25
Entity-8,Sell,0.1512,CNY,10-02-2018,10-04-2018,230,135.75
Entity-9,Buy,0.1197,SEK,10-02-2018,10-05-2018,260,140.50
Entity-9,Sell,0.1197,SEK,10-02-2018,10-05-2018,175,141.00
Entity-10,Buy,0.0536,MXN,10-02-2018,10-06-2018,225,145.75
Entity-10,Sell,0.0536,MXN,10-02-2018,10-06-2018,325,146.25
Entity-11,Buy,0.6890,NZD,10-03-2018,10-03-2018,415,150.25
Entity-11,Sell,0.6890,NZD,10-03-2018,10-03-2018,220,150.75
Entity-12,Buy,0.7427,SGD,10-03-2018,10-04-2018,310,155.50
Entity-12,Sell,0.7427,SGD,10-03-2018,10-04-2018,410,156.00
Entity-13,Buy,0.2722,AED,10-03-2018,10-05-2018,270,160.75
Entity-13,Sell,0.2722,AED,10-03-2018,10-05-2018,510,161.25
Entity-14,Buy,0.2666,SAR,10-03-2018,10-06-2018,520,165.25
Entity-14,Sell,0.2666,SAR,10-03-2018,10-06-2018,460,165.75
Entity-15,Buy,0.0155,INR,10-03-2018,10-07-2018,240,170.50
Entity-15,Sell,0.0155,INR,10-03-2018,10-07-2018,230,171.00
Entity-1,Buy,0.1280,HKD,10-04-2018,10-04-2018,325,100.50
Entity-1,Sell,0.1280,HKD,10-04-2018,10-04-2018,140,101.00
Entity-2,Buy,1.1897,EUR,10-04-2018,10-05-2018,160,105.75
Entity-2,Sell,1.1897,EUR,10-04-2018,10-05-2018,345,106.25
Entity-3,Buy,0.0089,JPY,10-04-2018,10-06-2018,360,101.00
Entity-3,Sell,0.0089,JPY,10-04-2018,10-06-2018,750,101.50
Entity-4,Buy,1.3468,GBP,10-04-2018,10-07-2018,430,105.25
Entity-4,Sell,1.3468,GBP,10-04-2018,10-07-2018,250,105.75
Entity-5,Buy,0.7612,AUD,10-04-2018,10-08-2018,220,120.50
Entity-5,Sell,0.7612,AUD,10-04-2018,10-08-2018,245,121.00
Entity-6,Buy,0.7884,CAD,10-05-2018,10-05-2018,355,125.75
Entity-6,Sell,0.7884,CAD,10-05-2018,10-05-2018,295,126.25
Entity-7,Buy,1.0242,CHF,10-05-2018,10-06-2018,140,131.00
Entity-7,Sell,1.0242,CHF,10-05-2018,10-06-2018,160,131.50
Entity-8,Buy,0.1512,CNY,10-05-2018,10-07-2018,180,135.50
Entity-8,Sell,0.1512,CNY,10-05-2018,10-07-2018,130,136.00
Entity-9,Buy,0.1197,SEK,10-05-2018,10-08-2018,145,140.75
Entity-9,Sell,0.1197,SEK,10-05-2018,10-08-2018,120,141.25
Entity-10,Buy,0.0536,MXN,10-05-2018,10-09-2018,240,146.00
Entity-10,Sell,0.0536,MXN,10-05-2018,10-09-2018,330,146.50
Entity-11,Buy,0.6890,NZD,10-06-2018,10-06-2018,360,150.50
Entity-11,Sell,0.6890,NZD,10-06-2018,10-06-2018,385,151.00
Entity-12,Buy,0.7427,SGD,10-06-2018,10-07-2018,260,155.75
Entity-12,Sell,0.7427,SGD,10-06-2018,10-07-2018,190,156.25
Entity-13,Buy,0.2722,AED,10-06-2018,10-08-2018,310,161.00
Entity-13,Sell,0.2722,AED,10-06-2018,10-08-2018,50,161.50
Entity-14,Buy,0.2666,SAR,10-06-2018,10-09-2018,65,165.50
Entity-14,Sell,0.2666,SAR,10-06-2018,10-09-2018,70,166.00
Entity-15,Buy,0.0155,INR,10-06-2018,10-10-2018,100,170.75
Entity-15,Sell,0.0155,INR,10-06-2018,10-10-2018,210,171.25
Entity-1,Buy,0.1280,HKD,10-07-2018,10-07-2018,310,100.75
Entity-1,Sell,0.1280,HKD,10-07-2018,10-07-2018,240,100.75
Entity-2,Buy,1.1897,EUR,10-07-2018,10-08-2018,250,106.00
Entity-2,Sell,1.1897,EUR,10-07-2018,10-08-2018,330,106.25
Entity-3,Buy,0.0089,JPY,10-07-2018,10-09-2018,310,101.25
Entity-3,Sell,0.0089,JPY,10-07-2018,10-09-2018,255,100.75
Entity-4,Buy,1.3468,GBP,10-07-2018,10-10-2018,410,105.50
Entity-4,Sell,1.3468,GBP,10-07-2018,10-10-2018,450,105.00
Entity-5,Buy,0.7612,AUD,10-07-2018,10-11-2018,330,120.75
Entity-5,Sell,0.7612,AUD,10-07-2018,10-11-2018,380,121.25
Entity-6,Buy,0.7884,CAD,10-08-2018,10-08-2018,270,125.50
Entity-6,Sell,0.7884,CAD,10-08-2018,10-08-2018,260,126.50
Entity-7,Buy,1.0242,CHF,10-08-2018,10-09-2018,250,131.25
Entity-7,Sell,1.0242,CHF,10-08-2018,10-09-2018,230,131.75
Entity-8,Buy,0.1512,CNY,10-08-2018,10-10-2018,245,135.75
Entity-8,Sell,0.1512,CNY,10-08-2018,10-10-2018,285,136.25
Entity-9,Buy,0.1197,SEK,10-08-2018,10-11-2018,200,141.00
Entity-9,Sell,0.1197,SEK,10-08-2018,10-11-2018,410,141.75
Entity-10,Buy,0.0536,MXN,10-08-2018,10-12-2018,380,146.25
Entity-10,Sell,0.0536,MXN,10-08-2018,10-12-2018,370,146.75
Entity-11,Buy,0.6890,NZD,10-09-2018,10-09-2018,330,152.00
Entity-11,Sell,0.6890,NZD,10-09-2018,10-09-2018,350,151.50
Entity-12,Buy,0.7427,SGD,10-09-2018,10-10-2018,340,156.00
Entity-12,Sell,0.7427,SGD,10-09-2018,10-10-2018,310,156.50
Entity-13,Buy,0.2722,AED,10-09-2018,10-11-2018,330,161.25
Entity-13,Sell,0.2722,AED,10-09-2018,10-11-2018,350,161.75
Entity-14,Buy,0.2666,SAR,10-09-2018,10-12-2018,375,165.25
Entity-14,Sell,0.2666,SAR,10-09-2018,10-12-2018,410,165.75
Entity-15,Buy,0.0155,INR,10-09-2018,10-13-2018,520,171.00
Entity-15,Sell,0.0155,INR,10-09-2018,10-13-2018,565,171.50
Entity-1,Buy,0.1280,HKD,10-10-2018,10-10-2018,310,100.50
Entity-1,Sell,0.1280,HKD,10-10-2018,10-10-2018,280,100.75
